type	name	iata_code	coordinates
closed	Hawk Haven Airport		"-97.567497, 35.8534"
small_airport	Peacock Ranch Airport		"-117.35099792480469, 45.44150161743164"
heliport	PECO Mob. Heliport		"-75.178201, 39.9548"
heliport	State Police Area Iii Heliport		"-76.85800170898438, 40.30009841918945"
small_airport	Mills Brothers Airport		"-77.86190032958984, 40.142799377441406"
small_airport	Vernonia Airfield		"-123.24199676513672, 45.85150146484375"
small_airport	Brandes Air Field		"-96.26509857177734, 29.809099197387695"
small_airport	Hilde-Griff Field		"-97.79139709472656, 30.72209930419922"
closed	Thurmond Glenn Field		"-89.552903, 35.556998"
small_airport	Dew Drop Airport		"-97.35859680175781, 33.12929916381836"
small_airport	Circle 'A' Ranch Airport		"-97.4041976928711, 32.12919998168945"
small_airport	Oljato Airport		"-110.31700134277344, 37.03329849243164"
small_airport	Blanca Airport		"-105.552001953125, 37.41109848022461"
small_airport	Providence Airport		"-78.4186019897461, 37.22420120239258"
heliport	Port of Highgate Springs Heliport		"-73.08670043945312, 45.013301849365234"
heliport	Sacred Heart Medical Center Helistop		"-117.41400146484375, 47.64820098876953"
small_airport	Ames Private Airport		"-88.74590301513672, 42.651100158691406"
small_airport	Flat Creek Field		"-118.0475, 48.702222"
small_airport	Johnson Memorial Airport		"-91.54319763183594, 33.07929992675781"
small_airport	Henning Municipal Airport		"-95.43949890136719, 46.30379867553711"
small_airport	June Lake Airpark		"-149.575331, 61.627619"
heliport	Brown Stagefield Army Heliport		"-85.97239685058594, 31.388399124145508"
small_airport	Bondair Airport		"-92.18489837646484, 35.544498443603516"
heliport	Mercy Gilbert Medical Center Heliport		"-111.75299835205078, 33.28580093383789"
seaplane_base	Lucky Landing Marina and Seaplane Base		"-68.8050003052, 44.907001495399996"
heliport	Sce Solar I Heliport		"-116.83399963378906, 34.87080001831055"
heliport	Abc7-Tv Heliport		"-118.28900146484375, 35.15719985961914"
small_airport	Jecan Airport		"-103.69100189208984, 37.38750076293945"
small_airport	William P Gwinn Airport		"-80.32890319824219, 26.90839958190918"
small_airport	Grass Roots Airpark		"-81.88500213623047, 28.641700744628906"
heliport	Morton Plant Hospital Heliport		"-82.8042984008789, 27.953399658203125"
heliport	Smith Heliport		"-84.16210174560547, 33.75339889526367"
seaplane_base	Patoka Reservoir Landing Area Seaplane Base		"-86.69110107421875, 38.43339920043945"
small_airport	Rich Field		"-91.83429718017578, 41.841400146484375"
small_airport	Larkin Airport		"-116.35900115966797, 43.46269989013672"
small_airport	Humm Airport		"-88.86990356445312, 41.5994987487793"
closed	Ellis Fly-In Airport		"-87.303596, 39.282799"
small_airport	Sinele Strip		"-91.27429962158203, 40.5463981628418"
heliport	Riverside Hospital Airlift Heliport		"-97.37249755859375, 37.69580078125"
heliport	Falcon Heliport		"-83.34519958496094, 37.525901794433594"
heliport	Panther Helicopters Inc Heliport		"-90.02780151367188, 29.84600067138672"
closed	Hammersmith Heliport		"-88.496901, 41.8736"
heliport	Tembec Heliport		"-91.32019805908203, 30.70789909362793"
heliport	The Barn Heliport		"-71.60900115966797, 42.69060134887695"
heliport	Bayview Heliport		"-76.54630279541016, 39.29140090942383"
heliport	Barker Heliport		"-70.844275, 44.415247"
heliport	W A Foote Memorial Hospital Heliport		"-84.39140319824219, 42.2510986328125"
small_airport	Pike Field Airport		"-92.41670227050001, 47.6519012451"
small_airport	Noahs Ark Airport		"-94.80439758300781, 39.23059844970703"
small_airport	Torgerson Airport		"-112.10900115966797, 48.55830001831055"
small_airport	Randall Airport		"-74.3916015625, 41.43199920654297"
small_airport	Tailwinds Airport		"-78.9302978515625, 34.82749938964844"
small_airport	Fitterer's Strip		"-101.66899871826172, 46.7489013671875"
heliport	St Marys Hospital Heliport		"-95.86170196533203, 40.68000030517578"
